Word           Frequency      Posting List   
bowtie         1              [(1, 15979)]   

boy            1              [(2, 16320)]   

boyer          1              [(1, 17740)]   

brace          1              [(1, 14811)]   

bracts         1              [(2, 14571)]   

bradbury       1              [(2, 23275)]   

bradley        1              [(1, 17410)]   

branches       1              [(1, 7572)]    

bread          1              [(1, 12229)]   

break          1              [(1, 11391)]   

breaks         1              [(2, 13476)]   

bred           4              [(1, 701), (1, 4864), (1, 6185), (1, 9790)]

breeding       6              [(1, 1054), (1, 5073), (1, 5550), (1, 11616), (1, 13180), (2, 20020)]

brian          1              [(1, 13779)]   

bright         1              [(2, 6647)]    

brita          1              [(1, 2400)]    

brodsky        1              [(2, 17672)]   

brother        1              [(2, 16411)]   

brought        1              [(1, 518)]     

brown          3              [(1, 10163), (1, 10735), (1, 13110)]

browning       2              [(1, 10590), (1, 19426)]

brox           1              [(1, 14378)]   

brush          1              [(1, 15341)]   

bunch          1              [(2, 3643)]    

bunches        3              [(2, 7982), (2, 8157), (2, 11519)]

bunchy         2              [(2, 1766), (2, 12719)]

burgess        2              [(2, 18601), (2, 22553)]

business       1              [(2, 17636)]   

